Group ID|Artifact ID|Version ID|CQ #
org.apache.axis|axis|1.4-eclipse01|5312
com.google.code.gson|gson|1.6-eclipse01|5313
commons-codec|commons-codec|1.3-eclipse01|5316
commons-discovery|commons-discovery|0.4|5318
commons-el|commons-el|1.0-eclipse01|5319
commons-httpclient|commons-httpclient|3.0|5321
commons-io|commons-io|1.4-eclipse01|5322
commons-logging|commons-logging|1.1.1-eclipse01|5323
dom4j|dom4j|1.6.1|5324
org.apache.geronimo.specs|geronimo-jta_1.1_spec|1.1.1|5330
xerces|xercesImpl|2.9.0-eclipse01|5332
commons-collections|commons-collections|3.2-eclipse01|5333
javax.activation|activation|1.1-eclipse01|5335
org.slf4j|slf4j-api|1.6.1-eclipse01|5336
javax.ws.rs|jsr311-api|1.1.1-eclipse01|5337
javax.el|el-api|2.1|5338
rhino|js|1.7R2-eclipse01|5339
net.sf.gface|gface|0.9.1-eclipse01|5340
org.apache.geronimo.specs|geronimo-ejb_2.1_spec|1.1|5343
javax.jms|jms|1.1-eclipse01|5345
com.thoughtworks.qdox|qdox|1.10-eclipse01|5346
org.apache.geronimo.components|geronimo-connector|2.2.1|5348
org.apache.geronimo.components|geronimo-transaction|2.2.1|5349
cglib|cglib-nodep|2.1_3|5351
org.jencks|jencks|2.2|5352
org.apache.myfaces.core|myfaces-api|1.1.5|5354
org.apache.myfaces.core|myfaces-impl|1.1.5-eclipse01|5355
com.sun.facelets|jsf-facelets|1.1.14|5356
jstl|jstl-api|1.2|5358
jgoodies|forms|1.0.2-eclipse01|5361
net.sourceforge.htmlcleaner|htmlcleaner|2.1|5363
com.sun.jersey|jersey-core|1.1.5.1|5365
javax.annotation|jsr250-api|1.1-eclipse01|5366
concurrent|concurrent|1.3.4-eclipse01|5371
backport-util-concurrent|backport-util-concurrent|3.1-eclipse01|5372
javax.mail|mail|1.4|5391
xalan|xalan|2.7.1-eclipse01|5393
org.apache.activemq|activemq-core|5.4.2|5394
net.sourceforge.nekohtml|nekohtml|1.9.14-eclipse01|5444
org.apache.xbean|xbean-spring|3.7|5447
aopalliance|aopalliance|1.0-eclipse01|5449
avalon-framework|avalon-framework|4.1.3-eclipse01|5450
de.l3s.boilerpipe|boilerpipe|1.1.0-eclipse01|5452
stax|stax-api|1.0.1-eclipse01|5484
org.slf4j|jcl-over-slf4j|1.5.11-eclipse01|5490
javax.jcr|jcr|2.0|5491
ch.qos.logback|logback-classic|0.9.20|5492
ch.qos.logback|logback-core|0.9.20|5493
rome|rome|0.9-eclipse01|5497
javax.servlet|servlet-api|2.4|5499
org.ccil.cowan.tagsoup|tagsoup|1.2|5502
org.apache.xmlbeans|xmlbeans|2.3.0|5506
org.tranql|tranql-connector|1.7|5507
org.apache.pdfbox|jempbox|1.3.1|5514
commons-digester|commons-digester|1.8|5518
commons-fileupload|commons-fileupload|1.2.1|5519
log4j|log4j|1.2.15-eclipse01|5520
org.apache.geronimo.specs|geronimo-j2ee-connector_1.5_spec|2.0.0|5537
javax.servlet|jstl|1.2|5560
org.apache.activemq|activemq-ra|5.4.2|5562
commons-jxpath|commons-jxpath|1.3-eclipse01|5794
com.google.guava|guava|10.0.1-eclipse01|5879
jdom|jdom|1.0-eclipse01|6088
com.sun.media|jai_imageio|1.1-eclipse01|6142
org.apache.ivy|ivy|2.2.0-eclipse01|6225
oro|oro|2.0.8-eclipse01|6228
com.jcraft|jsch|0.1.31-eclipse01|6230
com.h2database|h2|1.3.164|6313
org.apache.geronimo.specs|geronimo-jms_1.1_spec|1.1.1|6320
org.slf4j|slf4j-api|1.5.11-eclipse01|6328
asm|asm|2.2.3|6329
javax.ejb|ejb-api|3.0-eclipse01|6337
javax.persistence|persistence-api|1.0-eclipse01|6338
org.apache.jackrabbit|jackrabbit-webdav|2.2.5|6345
com.sun.jersey|jersey-server|1.1.5.1|6348
javax.el|el-api|1.0|6364
el-impl|el-impl|1.0|6365
com.sun.el|el-ri|1.0|6365
org.antlr|antlr-runtime|3.2-eclipse01|6371
org.mockito|mockito-core|1.8.5|6376
org.powermock|powermock-core|1.4.9|6377
org.powermock|powermock-reflect|1.4.9|6378
org.powermock|powermock-api-mockito|1.4.9|6379
org.powermock|powermock-api-support|1.4.9|6380
org.powermock|powermock-module-junit4-common|1.4.9|6382
javassist|javassist|3.14.0-GA|6384
commons-lang|commons-lang|2.4-eclipse01|6666
net.sf.ehcache|ehcache-core|2.5.1|6667
org.apache.cxf|cxf-api|2.6.1-eclipse01|6668
org.apache.cxf|cxf-rt-core|2.6.1|6669
org.apache.cxf|cxf-rt-frontend-jaxrs|2.6.1|6670
org.apache.cxf|cxf-rt-frontend-jaxws|2.6.1|6671
org.apache.cxf|cxf-rt-frontend-simple|2.6.1|6672
org.apache.cxf|cxf-rt-bindings-soap|2.6.1|6673
org.apache.cxf|cxf-rt-bindings-xml|2.6.1|6674
org.apache.cxf|cxf-rt-databinding-jaxb|2.6.1|6675
org.apache.cxf|cxf-rt-transports-http|2.6.1|6676
org.apache.cxf|cxf-rt-ws-addr|2.6.1|6677
org.apache.cxf|cxf-rt-ws-policy|2.6.1|6678
org.apache.cxf|cxf-rt-ws-security|2.6.1|6679
org.apache.cxf|cxf-tools-wsdlto-frontend-jaxws|2.6.1|6680
org.apache.cxf|cxf-tools-wsdlto-databinding-jaxb|2.6.1|6681
org.apache.cxf|cxf-tools-wsdlto-core|2.6.1|6682
org.apache.cxf|cxf-tools-validator|2.6.1|6683
org.apache.cxf|cxf-tools-common|2.6.1|6684
org.apache.neethi|neethi|3.0.2|6685
org.apache.santuario|xmlsec|1.5.2|6686
org.apache.velocity|velocity|1.7|6687
org.apache.ws.security|wss4j|1.6.6|6688
org.apache.ws.xmlschema|xmlschema-core|2.0.2|6689
org.eclipse.birt.runtime.3_7_1|org.apache.xml.resolver|1.2.0-eclipse01|6690
asm|asm|3.3.1-eclipse01|6691
com.sun.xml.bind|jaxb-impl|2.1.12-eclipse01|6692
com.sun.xml.bind|jaxb-xjc|2.1.12-eclipse01|6693
wsdl4j|wsdl4j|1.6.2-eclipse01|6694
org.powermock|powermock-module-junit4-rule-agent|1.4.9|6698
org.objenesis|objenesis|1.0-eclipse01|6716
org.codehaus.woodstox|wstx-asl|3.2.8|6847
com.hazelcast|hazelcast|2.4-eclipse01|6911
com.hazelcast|hazelcast-ra|2.4-eclipse01|6912
org.apache.ant|ant-commons-net|1.7.0-eclipse01|6964
org.apache.ant|ant-launcher|1.7.0-eclipse01|6964
org.apache.ant|ant|1.7.0-eclipse01|6964
commons-beanutils|commons-beanutils|1.8.0|6966
org.apache.geronimo.specs|geronimo-j2ee-management_1.0_spec|1.0|6968
javax.servlet|jsp-api|2.0|6969
org.apache.derby|derby|10.8.2.2|6970
org.apache.derby|derbyclient|10.8.2.2|6970
org.apache.derby|derbynet|10.8.2.2|6970
org.apache.axis|axis-ant|1.4-eclipse01|6971
org.apache.axis|axis-saaj|1.4-eclipse01|6972
commons-cli|commons-cli|1.0-eclipse01|6975
org.milyn|flute|1.3|6976
org.w3c.css|sac|1.3|6977
javax.xml|jaxrpc-api|1.1-eclipse01|6978
javax.xml.bind|jaxb-api|2.1|6979
com.sun.xml.messaging.saaj|saaj-impl|1.3.2|6980
org.slf4j|slf4j-log4j12|1.5.11|6981
org.eclipse.persistence|javax.persistence|2.0.0|6982
ant-contrib|ant-contrib|1.0b3|6983
org.eclipse.stardust.components|ipp-toc-generator|1.1.1|6983
com.googlecode.jarjar|jarjar|1.1|6983
org.icefaces|icefaces-facelets|1.8.2-r33557-eclipse01|7017
javax.xml.soap|saaj-api|1.3|7101
org.icefaces|icefaces|1.8.2-r33557|7135
org.icefaces|icefaces-comps|1.8.2-r33557-eclipse01|7136
org.icepdf|icepdf-core|5.0.0-eclipse01|7204
org.apache.tomcat|tomcat-catalina|7.0.35-eclipse01|7392
commons-dbcp|commons-dbcp|1.4-eclipse01|7393
commons-pool|commons-pool|1.6-eclipse01|7394
commons-io|commons-io|2.2|7395
org.apache.commons|commons-compress|1.4.1-eclipse01|7396
org.apache.jackrabbit|jackrabbit-api|2.6.1|7399
org.apache.jackrabbit|jackrabbit-core|2.6.1-eclipse01|7400
org.apache.jackrabbit|jackrabbit-jca|2.6.1|7401
org.apache.jackrabbit|jackrabbit-jcr-commons|2.6.1|7402
org.apache.jackrabbit|jackrabbit-jcr-rmi|2.6.1|7403
org.apache.jackrabbit|jackrabbit-jcr-server|2.6.1|7405
org.apache.jackrabbit|jackrabbit-jcr-servlet|2.6.1|7406
org.apache.jackrabbit|jackrabbit-spi|2.6.1|7407
org.apache.jackrabbit|jackrabbit-spi-commons|2.6.1|7408
org.apache.jackrabbit|jackrabbit-webapp|2.6.1|7409
org.apache.jackrabbit|jackrabbit-webdav|2.6.1|7410
org.apache.lucene|lucene-core|3.6.0|7411
org.apache.poi|poi|3.8|7412
org.apache.poi|poi-ooxml|3.8-eclipse01|7413
org.apache.poi|poi-scratchpad|3.8-eclipse01|7414
org.apache.poi|poi-ooxml-schemas|3.8|7417
org.apache.camel|camel-core|2.9.2|7418
org.apache.camel|camel-spring|2.9.2|7419
org.apache.camel|camel-jms|2.9.2|7420
org.apache.camel|camel-quartz|2.9.2|7421
org.apache.camel|camel-restlet|2.9.2|7422
org.apache.camel|camel-script|2.9.2|7423
org.quartz-scheduler|quartz|1.8.6|7426
org.osgi|org.osgi.core|4.3.0|7427
org.restlet.jse|org.restlet|2.0.10|7428
org.python|jython|2.7-b1-eclipse01|7429
org.apache.tika|tika-core|1.3-eclipse01|7495
org.apache.tika|tika-parsers|1.3-eclipse01|7496
org.apache.tika|tika-core|1.1|7539
org.apache.tika|tika-parsers|1.1|7540
org.springframework|spring-aop|3.2.4.RELEASE|7542
org.springframework|spring-beans|3.2.4.RELEASE|7543
org.springframework|spring-context-support|3.2.4.RELEASE|7544
org.springframework|spring-context|3.2.4.RELEASE|7545
org.springframework|spring-core|3.2.4.RELEASE|7546
org.springframework|spring-expression|3.2.4.RELEASE|7547
org.springframework|spring-jdbc|3.2.4.RELEASE|7548
org.springframework|spring-jms|3.2.4.RELEASE|7549
org.springframework|spring-orm|3.2.4.RELEASE|7550
org.springframework|spring-tx|3.2.4.RELEASE|7551
org.springframework|spring-web|3.2.4.RELEASE|7552
org.springframework|spring-webmvc|3.2.4.RELEASE|7553
org.springframework|spring-test|3.2.4.RELEASE|7554
junit|junit|4.11-eclipse01|7555
org.hamcrest|hamcrest-core|1.3-eclipse01|7556
org.hamcrest|hamcrest-library|1.3-eclipse01|7557
org.apache.camel|camel-core|2.12.1|7672
org.apache.camel|camel-spring|2.12.1|7673
org.apache.camel|camel-jms|2.12.1|7674
org.apache.camel|camel-quartz|2.12.1|7675
org.apache.camel|camel-script|2.12.1|7676
org.apache.camel|camel-mail|2.12.1|7677
org.apache.camel|camel-http|2.12.1|7678
org.apache.camel|camel-sql|2.12.1|7679
org.apache.bsf|bsf-all|3.1|7924
com.sun.xml.bind|jaxb-impl|2.2.6|7972
commons-collections|commons-collections|3.2.1|7973
commons-lang|commons-lang|2.4-eclipse01|7974
org.apache.santuario|xmlsec|1.5.6|7975
org.apache.ws.security|wss4j|1.6.14|7977
org.apache.ws.xmlschema|xmlschema-core|2.1.0|7978
org.codehaus.woodstox|stax2-api|3.1.1|7979
org.codehaus.woodstox|woodstox-core-asl|4.2.0|7980
wsdl4j|wsdl4j|1.6.3|7981
javax.ws.rs|javax.ws.rs-api|2.0-m10|7982
org.apache.cxf|cxf-api|2.7.10-eclipse01|7983
org.apache.cxf|cxf-rt-bindings-soap|2.7.10-eclipse01|7984
org.apache.cxf|cxf-rt-bindings-xml|2.7.10|7985
org.apache.cxf|cxf-rt-core|2.7.10|7986
org.apache.cxf|cxf-rt-databinding-jaxb|2.7.10|7987
org.apache.cxf|cxf-rt-frontend-jaxrs|2.7.10|7988
org.apache.cxf|cxf-rt-frontend-jaxws|2.7.10|7989
org.apache.cxf|cxf-rt-frontend-simple|2.7.10|7990
org.apache.cxf|cxf-rt-transports-http|2.7.10|7991
org.apache.cxf|cxf-rt-ws-addr|2.7.10|7992
org.apache.cxf|cxf-rt-ws-policy|2.7.10|7993
org.apache.cxf|cxf-rt-ws-security|2.7.10|7994
org.apache.cxf|cxf-tools-common|2.7.10|7995
org.apache.cxf|cxf-tools-validator|2.7.10|7996
org.apache.cxf|cxf-tools-wsdlto-core|2.7.10|7997
org.apache.cxf|cxf-tools-wsdlto-databinding-jaxb|2.7.10|7998
org.apache.cxf|cxf-tools-wsdlto-frontend-jaxws|2.7.10|7999
org.apache.camel|camel-test|2.12.1|8137
org.apache.derby|derby|10.9.1.0|8143
org.apache.derby|derbyclient|10.9.1.0|8143
org.apache.derby|derbynet|10.9.1.0|8143
com.ibm.icu|icu4j|50.1.1|8260
org.apache.camel|camel-core|2.13.1|8513
org.apache.camel|camel-spring|2.13.1|8514
org.apache.camel|camel-jms|2.13.1|8515
org.apache.camel|camel-quartz|2.13.1|8516
org.apache.camel|camel-script|2.13.1|8517
org.apache.camel|camel-mail|2.13.1|8518
org.apache.camel|camel-http|2.13.1|8519
org.apache.camel|camel-sql|2.13.1|8520
org.apache.camel|camel-test|2.13.1|8521
org.apache.camel|camel-velocity|2.13.1|8551
org.apache.velocity|velocity-tools|2.0|8552
org.apache.camel|camel-smpp|2.13.1|8553
com.lowagie|itext|2.1.7|8896
org.apache.poi|poi-ooxml-schemas|1.1|8897
fr.opensagres.xdocreport|org.apache.poi.xwpf.converter.core|1.0.4|8900
fr.opensagres.xdocreport|org.apache.poi.xwpf.converter.pdf|1.0.4|8901
fr.opensagres.xdocreport|fr.opensagres.xdocreport.converter|1.0.4|8902
fr.opensagres.xdocreport|fr.opensagres.xdocreport.core|1.0.4|8903
fr.opensagres.xdocreport|fr.opensagres.xdocreport.document|1.0.4-eclipse01|8904
fr.opensagres.xdocreport|fr.opensagres.xdocreport.document.docx|1.0.4|8905
fr.opensagres.xdocreport|fr.opensagres.xdocreport.template|1.0.4|8906
fr.opensagres.xdocreport|fr.opensagres.xdocreport.template.velocity|1.0.4|8907
fr.opensagres.xdocreport|fr.opensagres.xdocreport.itext.extension|1.0.4|8908
org.apache.camel|camel-core|2.14.0|8909
org.apache.camel|camel-spring|2.14.0|8910
org.apache.camel|camel-jms|2.14.0|8911
org.apache.camel|camel-quartz|2.14.0|8912
org.apache.camel|camel-script|2.14.0|8913
org.apache.camel|camel-mail|2.14.0|8914
org.apache.camel|camel-http|2.14.0|8915
org.apache.camel|camel-sql|2.14.0|8916
org.apache.camel|camel-test|2.14.0|8917
org.apache.camel|camel-velocity|2.14.0|8919
org.icepdf|icepdf-core|5.1.1-eclipse01|9240
javax.servlet|servlet-api|2.5|9610
org.mozilla|rhino|1.7R5-eclipse01|9740
org.mozilla|rhino|1.7.6|9741
com.sun.xml.bind|jaxb-xjc|2.2.6|9839
org.apache.neethi|neethi|3.0.3|9846
org.apache.chemistry.opencmis|chemistry-opencmis-client-api|0.13.0|9915
org.apache.chemistry.opencmis|chemistry-opencmis-client-bindings|0.13.0|9916
org.apache.chemistry.opencmis|chemistry-opencmis-client-impl|0.13.0|9917
org.apache.chemistry.opencmis|chemistry-opencmis-commons-api|0.13.0|9918
org.apache.chemistry.opencmis|chemistry-opencmis-commons-impl|0.13.0|9919
